BOOMBAYAH,BLACKPINK,76,161611,2774388,4.016666666666667,k-pop,"Seoul, Korea, Republic of",4,band,443371,59627899
enemy,Charli XCX,76,99890,678954,3.716666666666667,pop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
CHERRY,ITZY,76,38653,527641,3.1666666666666665,edm,"Seoul, Korea, Republic of",1,band,159995,12527679
Paradisin',Rina Sawayama,76,91102,696919,3.1,pop,"Niigata, Niigata, Japan",30,solo,314082,19688561
7 years,Charli XCX,75,88471,665242,3.25,electropop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
DUN DUN,Everglow,75,80782,1423925,3.2,k-pop,"Seoul, Korea, Republic of",2,band,140037,7579596
Zimzalabim,Red Velvet,75,72588,1315692,3.1666666666666665,k-pop,0,0,0,263515,42577088
FANCY,TWICE,75,138627,3698765,3.55,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
ilomilo,Billie Eilish,74,244932,2342462,2.6,electropop,"Los Angeles, Los Angeles County, California, United States",19,solo,1023808,82087931
Curiosity,Loona,74,23829,201993,3.15,curiosity,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
i love you,Billie Eilish,73,277003,2666003,4.866666666666667,2010s,"Los Angeles, Los Angeles County, California, United States",19,solo,1023808,82087931
POP/STARS,K/DA,73,122010,2433356,3.183333333333333,k-pop,0,0,0,170499,7154512
What You Waiting For,Somi,73,54847,836311,2.9166666666666665,kpop,"Champaign, Champaign County, Illinois, United States",39,solo,114730,2065262
RAINBOW,TWICE,73,35841,397528,2.95,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
Друг(?),раздор!,73,78,959,2.8833333333333333,Add tags,0,0,0,141,1412
MAGO,GFRIEND,72,45340,1028567,0,Add tags,0,5,band,80815,7951663
THAT’S A NO NO,ITZY,72,28115,314291,0,nuni,"Seoul, Korea, Republic of",1,band,159995,12527679
Airplane,IZ*ONE,72,13350,251513,3.05,kpop,"Seoul, Korea, Republic of",2,band,102936,11987904
Highlight,IZ*ONE,72,20738,367478,3.466666666666667,k-pop,"Seoul, Korea, Republic of",2,band,102936,11987904
Heart Attack (츄),Loona,72,50973,523518,3.2333333333333334,best,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
X X,Loona,72,19394,228011,0.8,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
HANN (Alone),(G)I-DLE,71,65451,1111708,3.4166666666666665,k-pop,"Seoul, Korea, Republic of",2,band,155305,10036378
THAT'S A NO NO,ITZY,71,2375,86449,3.0,k-pop,"Seoul, Korea, Republic of",1,band,159995,12527679
Akasaka Sad,Rina Sawayama,71,102470,949603,3.033333333333333,alternative,"Niigata, Niigata, Japan",30,solo,314082,19688561
GET LOUD,TWICE,71,40996,569658,3.1,banger,"Seoul, Korea, Republic of",5,band,267391,49043896
Maze,(G)I-DLE,70,25788,302105,3.3333333333333335,k-pop,"Seoul, Korea, Republic of",2,band,155305,10036378
Put It Straight - Nightmare Version,(G)I-DLE,70,13089,116981,0,k-pop,"Seoul, Korea, Republic of",2,band,155305,10036378
Lovesick Girls,BLACKPINK,70,144474,4213270,0,k-pop,"Seoul, Korea, Republic of",4,band,443371,59627899
+ +,Loona,70,17233,121166,0.9666666666666667,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
What Is Love,TWICE,70,66999,632278,0,pops in seoul,"Seoul, Korea, Republic of",5,band,267391,49043896
Any,Stray Kids,69,22717,322176,0,k-pop,"Seoul, Korea, Republic of",3,band,148884,23457226
MIROH,Stray Kids,69,66707,1201960,3.466666666666667,k-pop,"Seoul, Korea, Republic of",3,band,148884,23457226
TRICK IT,TWICE,69,37295,496572,3.2333333333333334,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
Kill This Love,BLACKPINK,68,213023,4410209,3.15,kpop,"Seoul, Korea, Republic of",4,band,443371,59627899
Break My Heart,Dua Lipa,68,338288,4704255,3.6833333333333336,pop,"London, England, United Kingdom",25,solo,956351,76568596
Louder,ITZY,68,21934,175343,3.35,k-pop,"Seoul, Korea, Republic of",1,band,159995,12527679
키스는 다음에,Loona,68,17963,157116,3.3166666666666664,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Gashina,Sunmi,68,97287,1366257,3.0,kpop,"Iksan, Jeollabuk-do, Korea, Republic of",28,solo,162636,7739455
Universe,Weeekly,68,7199,58787,3.4333333333333336,k-pop,"Seoul, Korea, Republic of",1,band,21517,889195
365,Loona,67,29704,322821,3.6833333333333336,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Number 1,Loona,67,31549,395019,3.3666666666666667,do do do,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Egoist (Olivia Hye) (feat. Jinsoul),Loona,66,34622,369648,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
c2.0,Charli XCX,65,76045,524284,3.6666666666666665,alternative,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
Physical,Dua Lipa,65,319565,6395663,3.2,pop,"London, England, United Kingdom",25,solo,956351,76568596
BAZOOKA!,GWSN,65,19219,256734,3.25,electropop,"Seoul, Korea, Republic of",2,band,40524,1902772
I$uS,Павел Сатаненко,65,33,271,0,house,0,0,0,1208,5144
anthems,Charli XCX,64,84685,749641,2.85,electropop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
Pinky Star (RUN),GWSN,64,15464,202264,3.4,liked,"Seoul, Korea, Republic of",2,band,40524,1902772
IT'z SUMMER,ITZY,63,26395,310072,3.283333333333333,pop,"Seoul, Korea, Republic of",1,band,159995,12527679
THE BADDEST,K/DA,63,79511,1668588,0,k-pop,0,0,0,170499,7154512
Girl Front,LOONA / ODD EYE CIRCLE,63,2097,22760,0,k-pop,0,0,0,2883,94920
Senorita,(G)I-DLE,62,55335,862878,3.283333333333333,liked,"Seoul, Korea, Republic of",2,band,155305,10036378
Bet You Wanna (feat. Cardi B),BLACKPINK,62,111144,1312398,0,k-pop,"Seoul, Korea, Republic of",4,band,443371,59627899
party 4 u,Charli XCX,62,79784,652802,4.933333333333334,electropop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
Don’t Give a What,ITZY,62,25301,219038,0,k-pop,"Seoul, Korea, Republic of",1,band,159995,12527679
ME,CLC,61,39976,697470,3.216666666666667,k-pop,"Seoul, Korea, Republic of",5,band,119178,7763360
Tension,Dreamcatcher,61,14454,141775,3.183333333333333,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
7 rings,Ariana Grande,60,418016,9472358,2.95,trap,"Boca Raton, Palm Beach County, Florida, United States",27,solo,1556092,210464627
WHISTLE,BLACKPINK,60,131102,1947346,3.55,k-pop,"Seoul, Korea, Republic of",4,band,443371,59627899
UP NO MORE,TWICE,60,43547,530262,0,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
Ice Cream (with Selena Gomez),BLACKPINK,59,177515,4594702,2.9166666666666665,pop,"Seoul, Korea, Republic of",4,band,443371,59627899
Bad Friend,Rina Sawayama,59,117172,1020042,3.466666666666667,electropop,"Niigata, Niigata, Japan",30,solo,314082,19688561
SPIT IT OUT,Solar,59,29026,407532,3.2333333333333334,k-pop,0,0,0,60826,1124998
Easy,Stray Kids,59,32389,536080,3.05,rap,"Seoul, Korea, Republic of",3,band,148884,23457226
"We Go (Bang Chan, Changbin, HAN)",Stray Kids,59,18347,218101,0,k-pop,"Seoul, Korea, Republic of",3,band,148884,23457226
gec 2 Ü (Remix) [feat. Dorian Electra],100 gecs,58,40768,296556,2.7666666666666666,bubblegum bass,"St. Louis, Missouri, United States",6,band,257803,16741714
love battery (hong jinyoung cover),Loona,58,2,35,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
다녀가요,Loona,58,17887,168703,3.4833333333333334,loona,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
OXYGEN,TWICE,58,37865,415162,3.75,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
SHOT CLOCK,TWICE,58,29806,187462,0,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
OOPSY,Weki Meki,58,21054,263785,3.2333333333333334,k-pop,"Seoul, Korea, Republic of",3,band,73653,3117682
I Love You,EXID,57,51872,735604,3.2333333333333334,k-pop,"Seoul, Korea, Republic of",8,band,136939,9868698
Apple,GFRIEND,57,35644,539428,0,fleetwood mac,0,5,band,80815,7951663
GRWM,GFRIEND,57,11155,74825,0,Add tags,0,5,band,80815,7951663
MAKE ME GO,TWICE,57,36835,383480,3.1,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
"WHEN I WAS OLDER (Music Inspired by the Film ""ROMA"")",Billie Eilish,56,2704,38161,0,pop,"Los Angeles, Los Angeles County, California, United States",19,solo,1023808,82087931
(Online Love),Conan Gray,56,37932,442431,0.6166666666666667,indie,"San Diego, Duval County, Texas, United States",22,solo,384849,13703771
Fight or Flight,Conan Gray,56,36933,301731,2.85,indie,"San Diego, Duval County, Texas, United States",22,solo,384849,13703771
Better Me,GFRIEND,56,10996,86854,0,Add tags,0,5,band,80815,7951663
MORE,K/DA,56,63762,1309154,0,k-pop,0,0,0,170499,7154512
Levitating,Dua Lipa,55,221788,3424322,3.3833333333333333,pop,"London, England, United Kingdom",25,solo,956351,76568596
Pretty Please,Dua Lipa,55,191790,2254496,3.2333333333333334,rnb,"London, England, United Kingdom",25,solo,956351,76568596
Kidding,Hwa Sa,55,15455,100443,2.75,k-pop,"Jeonju, Jeollabuk-do, Korea, Republic of",25,solo,120253,2638252
FIESTA,IZ*ONE,54,46114,1058408,3.6166666666666667,korean,"Seoul, Korea, Republic of",2,band,102936,11987904
love4eva (feat. Grimes),LOOΠΔ / yyxy,54,3705,83009,3.6666666666666665,gee,"Seoul, Korea, Republic of",2,band,4252,213649
WANNA BE MYSELF,MAMAMOO,54,25636,220814,0,k-pop,"Seoul, Korea, Republic of",6,band,180285,12251755
The Tortoise and the Hare,Stray Kids,54,18513,169687,0,k-pop,"Seoul, Korea, Republic of",3,band,148884,23457226
"Rosy (고원, Olivia Hye) [Feat. 희진]",Loona,53,55,306,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
love4eva (feat. Grimes),LOONA/yyxy,53,31912,266757,0,blockberry creative,0,0,0,35242,516071
SURF,ITZY,52,24451,267806,3.216666666666667,surf,"Seoul, Korea, Republic of",1,band,159995,12527679
Everyday I Love You,Loona,52,19383,184450,0,synthpop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Pound the Alarm,Nicki Minaj,52,282058,2345818,3.3,pop,"Port of Spain, Trinidad, Trinidad and Tobago",38,solo,2327646,89606844
DO WHAT WE LIKE,TWICE,52,37494,303942,0,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
LIKEY,TWICE,52,92144,1759141,3.4833333333333334,k-pop,"Seoul, Korea, Republic of",5,band,267391,49043896
NEON,Yukika,52,22748,234223,3.6666666666666665,city pop,"Shizuoka, Shizuoka, Japan",27,solo,36331,1166206
Uh-Oh,(G)I-DLE,51,54640,795890,3.45,kpop,"Seoul, Korea, Republic of",2,band,155305,10036378
"Ringtone (feat. Charli XCX, Rico Nasty, Kero Kero Bonito) [Remix]",100 gecs,51,3188,35392,3.5666666666666664,bubblegum bass,"St. Louis, Missouri, United States",6,band,257803,16741714
Binu,Bibi,51,20825,153772,3.033333333333333,k-pop,0,0,0,64645,1292630
Checkmate,Conan Gray,51,74889,732137,2.4833333333333334,indie,"San Diego, Duval County, Texas, United States",22,solo,384849,13703771
LMM,Hwa Sa,51,18647,136327,4.683333333333334,k-pop,"Jeonju, Jeollabuk-do, Korea, Republic of",25,solo,120253,2638252
24HRS,ITZY,51,25661,279112,2.1166666666666667,sophie,"Seoul, Korea, Republic of",1,band,159995,12527679
Play Date,Melanie Martinez,51,186684,1735117,2.9833333333333334,pop,"Baldwin, Nassau County, New York, United States",25,solo,516913,30786635
Love Me 4 Me,Rina Sawayama,51,89105,714563,3.2,pop,"Niigata, Niigata, Japan",30,solo,314082,19688561
Say So,Doja Cat,50,361885,5021051,3.9333333333333336,pop,"Los Angeles, Los Angeles County, California, United States",25,solo,614557,30053118
TWIT,Hwa Sa,50,64973,828621,3.1666666666666665,k-pop,"Jeonju, Jeollabuk-do, Korea, Republic of",25,solo,120253,2638252
ViViD,Loona,50,22786,196360,3.35,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Zig Zag,Weeekly,50,7096,80771,0,k-pop,"Seoul, Korea, Republic of",1,band,21517,889195
What’s in your house?,(G)I-DLE,49,15796,143242,0,this talks me off the edge,"Seoul, Korea, Republic of",2,band,155305,10036378
visions,Charli XCX,49,74161,544482,3.8166666666666664,electropop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
